index,next_index,path_id,start_label,end_label
2456,9296,2456_5763,0,7
9296,3943,2456_5763,0,7
3943,5587,2456_5763,0,7
5587,9343,2456_5763,0,7
9343,1198,2456_5763,0,7
1198,7514,2456_5763,0,7
7514,9719,2456_5763,0,7
9719,5763,2456_5763,0,7
5525,7894,5525_7970,4,0
7894,6202,5525_7970,4,0
6202,730,5525_7970,4,0
730,1198,5525_7970,4,0
1198,9343,5525_7970,4,0
9343,3200,5525_7970,4,0
3200,3574,5525_7970,4,0
3574,7970,5525_7970,4,0
6548,739,6548_968,4,7
739,7009,6548_968,4,7
7009,3335,6548_968,4,7
3335,5678,6548_968,4,7
5678,7252,6548_968,4,7
7252,994,6548_968,4,7
994,968,6548_968,4,7
8901,6730,8901_3067,9,3
6730,2993,8901_3067,9,3
2993,5116,8901_3067,9,3
5116,333,8901_3067,9,3
333,3067,8901_3067,9,3
9044,4916,9044_2533,0,5
4916,4110,9044_2533,0,5
4110,1897,9044_2533,0,5
1897,3327,9044_2533,0,5
3327,6159,9044_2533,0,5
6159,2533,9044_2533,0,5
6784,674,6784_950,0,7
674,3123,6784_950,0,7
3123,233,6784_950,0,7
233,3950,6784_950,0,7
3950,1312,6784_950,0,7
1312,8224,6784_950,0,7
8224,6405,6784_950,0,7
6405,950,6784_950,0,7
206,9025,206_4839,2,0
9025,6517,206_4839,2,0
6517,8399,206_4839,2,0
8399,3650,206_4839,2,0
3650,3327,206_4839,2,0
3327,98,206_4839,2,0
98,7219,206_4839,2,0
7219,4839,206_4839,2,0
5304,360,5304_6542,9,4
360,6542,5304_6542,9,4
758,314,758_3702,4,0
314,2403,758_3702,4,0
2403,7530,758_3702,4,0
7530,6883,758_3702,4,0
6883,3327,758_3702,4,0
3327,4607,758_3702,4,0
4607,3702,758_3702,4,0
723,2512,723_6283,3,7
2512,4199,723_6283,3,7
4199,2659,723_6283,3,7
2659,4870,723_6283,3,7
4870,1087,723_6283,3,7
1087,9410,723_6283,3,7
9410,6748,723_6283,3,7
6748,6283,723_6283,3,7
4867,7687,4867_496,6,5
7687,9115,4867_496,6,5
9115,496,4867_496,6,5
7421,59,7421_7693,4,8
59,5260,7421_7693,4,8
5260,2944,7421_7693,4,8
2944,7693,7421_7693,4,8
7789,9846,7789_2487,3,0
9846,1663,7789_2487,3,0
1663,7467,7789_2487,3,0
7467,1296,7789_2487,3,0
1296,2487,7789_2487,3,0
3931,4806,3931_2489,3,6
4806,331,3931_2489,3,6
331,7255,3931_2489,3,6
7255,2489,3931_2489,3,6
6942,4600,6942_3166,2,3
4600,3919,6942_3166,2,3
3919,6590,6942_3166,2,3
6590,3166,6942_3166,2,3
1894,473,1894_6898,2,7
473,6817,1894_6898,2,7
6817,5801,1894_6898,2,7
5801,6898,1894_6898,2,7
4817,8471,4817_374,0,3
8471,4601,4817_374,0,3
4601,104,4817_374,0,3
104,374,4817_374,0,3
8327,6815,8327_1425,2,6
6815,1205,8327_1425,2,6
1205,975,8327_1425,2,6
975,1425,8327_1425,2,6
7161,3800,7161_971,9,3
3800,9994,7161_971,9,3
9994,286,7161_971,9,3
286,4173,7161_971,9,3
4173,99,7161_971,9,3
99,971,7161_971,9,3
2277,4382,2277_5537,5,8
4382,2043,2277_5537,5,8
2043,5537,2277_5537,5,8
4750,5745,4750_5958,5,1
5745,8179,4750_5958,5,1
8179,8847,4750_5958,5,1
8847,355,4750_5958,5,1
355,3266,4750_5958,5,1
3266,57,4750_5958,5,1
57,996,4750_5958,5,1
996,6456,4750_5958,5,1
6456,4458,4750_5958,5,1
4458,7103,4750_5958,5,1
7103,2387,4750_5958,5,1
2387,7209,4750_5958,5,1
7209,4892,4750_5958,5,1
4892,5958,4750_5958,5,1
859,3335,859_6655,7,1
3335,1595,859_6655,7,1
1595,1982,859_6655,7,1
1982,7942,859_6655,7,1
7942,2579,859_6655,7,1
2579,8998,859_6655,7,1
8998,5398,859_6655,7,1
5398,6655,859_6655,7,1
5791,7137,5791_8505,6,2
7137,9750,5791_8505,6,2
9750,8505,5791_8505,6,2
216,6846,216_9034,6,8
6846,9003,216_9034,6,8
9003,876,216_9034,6,8
876,9764,216_9034,6,8
9764,3900,216_9034,6,8
3900,9034,216_9034,6,8
2948,636,2948_8799,4,3
636,120,2948_8799,4,3
120,9656,2948_8799,4,3
9656,8799,2948_8799,4,3
2295,9918,2295_1989,4,5
9918,4771,2295_1989,4,5
4771,7741,2295_1989,4,5
7741,730,2295_1989,4,5
730,254,2295_1989,4,5
254,9536,2295_1989,4,5
9536,2481,2295_1989,4,5
2481,1989,2295_1989,4,5
3544,6205,3544_4409,6,4
6205,6179,3544_4409,6,4
6179,7522,3544_4409,6,4
7522,4775,3544_4409,6,4
4775,715,3544_4409,6,4
715,4409,3544_4409,6,4
4295,2083,4295_6810,9,1
2083,1606,4295_6810,9,1
1606,5304,4295_6810,9,1
5304,5919,4295_6810,9,1
5919,1827,4295_6810,9,1
1827,2384,4295_6810,9,1
2384,2230,4295_6810,9,1
2230,6810,4295_6810,9,1
5573,5348,5573_3669,7,8
5348,4926,5573_3669,7,8
4926,5919,5573_3669,7,8
5919,8362,5573_3669,7,8
8362,9957,5573_3669,7,8
9957,3669,5573_3669,7,8
7866,6834,7866_6415,0,7
6834,7495,7866_6415,0,7
7495,9892,7866_6415,0,7
9892,8466,7866_6415,0,7
8466,6415,7866_6415,0,7
4212,5863,4212_6541,4,5
5863,7152,4212_6541,4,5
7152,7945,4212_6541,4,5
7945,2993,4212_6541,4,5
2993,57,4212_6541,4,5
57,7783,4212_6541,4,5
7783,2000,4212_6541,4,5
2000,3710,4212_6541,4,5
3710,4465,4212_6541,4,5
4465,4020,4212_6541,4,5
4020,1896,4212_6541,4,5
1896,3593,4212_6541,4,5
3593,6085,4212_6541,4,5
6085,8040,4212_6541,4,5
8040,1827,4212_6541,4,5
1827,862,4212_6541,4,5
862,3482,4212_6541,4,5
3482,6541,4212_6541,4,5
8207,3530,8207_3684,4,8
3530,636,8207_3684,4,8
636,120,8207_3684,4,8
120,2761,8207_3684,4,8
2761,7804,8207_3684,4,8
7804,4428,8207_3684,4,8
4428,3684,8207_3684,4,8
8926,8827,8926_3474,4,9
8827,4804,8926_3474,4,9
4804,710,8926_3474,4,9
710,9311,8926_3474,4,9
9311,3474,8926_3474,4,9
4534,4553,4534_4677,4,5
4553,3111,4534_4677,4,5
3111,4175,4534_4677,4,5
4175,8703,4534_4677,4,5
8703,1316,4534_4677,4,5
1316,4677,4534_4677,4,5
6156,7001,6156_5964,2,9
7001,9381,6156_5964,2,9
9381,2696,6156_5964,2,9
2696,8617,6156_5964,2,9
8617,5964,6156_5964,2,9
3946,2511,3946_4982,2,0
2511,6909,3946_4982,2,0
6909,4982,3946_4982,2,0
5778,2494,5778_6584,0,4
2494,7060,5778_6584,0,4
7060,3200,5778_6584,0,4
3200,9343,5778_6584,0,4
9343,1198,5778_6584,0,4
1198,710,5778_6584,0,4
710,4072,5778_6584,0,4
4072,6584,5778_6584,0,4
1513,7972,1513_5310,7,4
7972,7382,1513_5310,7,4
7382,7953,1513_5310,7,4
